Address,Volume,Number_of_Transactions,Number_of_Received_Transactions,Number_of_Sent_Transactions,Amount Received,Amount_Sent,Mean_of_Received,Mean_of_Sent,Stddev_of_Received,Stddev_of_Sent,Maximum_Amount_of_Sent_&_Received,Last_Balance
0xF2B21A376933a6Ae89ffEdc9BAf8d79E0325A1Ab,237388,2,1,1,118694,118694,118694.0,118694.0,0.0,0.0,118694,0
0x5cBACCEDE828d0350FFf1f6DE9f7EB0Fb6DEa76A,983600,1,1,0,983600,0,983600.0,0,0.0,0,983600,983600
0xBe83E7Db6C6fb4F5DB4F22294FAF3868Ca443F2B,14083170,25,18,7,7190265,6892905,399459.1666666667,984700.7142857143,225111.72598222073,345780.50199128775,1566310,297360
0x5ef90fE4f7140ABc85FB21197BDE2E6f50E45aa6,89416,2,1,1,44708,44708,44708.0,44708.0,0.0,0.0,44708,0
0x99229dE5ae143E1Ba0b058b90f2b3e7Af952236B,336904,2,1,1,168452,168452,168452.0,168452.0,0.0,0.0,168452,0
0xd147C61ff65814ECFde7b3a2c93F63B41e7Ecb5e,1299622,2,1,1,649811,649811,649811.0,649811.0,0.0,0.0,649811,0
0xCeAAeF7233F85d74B93dc47438a771D16A72Db7C,72186,2,1,1,36093,36093,36093.0,36093.0,0.0,0.0,36093,0
0x74b2871b730620e2757c21FeE5848Da1CD088929,351226,2,1,1,175613,175613,175613.0,175613.0,0.0,0.0,175613,0
0x4b5264aACef9b87C2abA5e9510fDF36587E108D5,20092172,12,6,6,10046086,10046086,1674347.6666666667,1674347.6666666667,477081.60940090276,475972.698417205,2029269,0
0x1A6353F8e9a60b35df860b3f639FD816902A78Cc,4006378,4,2,2,2003189,2003189,1001594.5,1001594.5,1594.5,1594.5,1003189,0
0xd08e3d8bddEE89c5aa077DfF731959fd19ccBe85,50284,2,1,1,25142,25142,25142.0,25142.0,0.0,0.0,25142,0
0xd48c12aEEF295079E9665EBa26f6456178321B40,238642,3,1,2,119321,119321,119321.0,59660.5,0.0,42952.5,119321,0
0x06e494FA63f4DF90898b5F26e1e1514B9B30343a,9373994,2,1,1,4686997,4686997,4686997.0,4686997.0,0.0,0.0,4686997,0
0x7595787bc6F60499EFEc6484D1114c56Dec2EB70,1782162,2,1,1,891081,891081,891081.0,891081.0,0.0,0.0,891081,0
0xACb37D20479dB0587E3C1a469A1b25F2450AB250,713510,2,1,1,356755,356755,356755.0,356755.0,0.0,0.0,356755,0
0x589AE443B1a5ceE74444677457ED5C4cf53e9c63,730414,2,1,1,365207,365207,365207.0,365207.0,0.0,0.0,365207,0
0x7D12Bbd4c48459be6750282AfaEC91338FC4e85c,608150,9,4,5,304075,304075,76018.75,60815.0,32006.268990425924,25676.00163576876,104244,0
0x8f6aaD008Bc82BD2f14bF6fBD870A510a8ef45D3,3063594,4,2,2,1531797,1531797,765898.5,765898.5,740936.5,495898.5,1506835,0
0xa91F80380D9Cc9c86EB98D2965A0DED9E2000791,66768596,65,30,35,33384306,33384290,1112810.2,953836.8571428572,2617488.884401286,1355940.5620200771,14600895,20
0xa8540Ff6A74cd07402cA81CE7d21Ac3A834F357b,9390732,6,3,3,4695366,4695366,1565122.0,1565122.0,524271.9027305074,524271.9027305074,1995470,0
0xc6feCDF760Af24095cDEd954dE7d81aB49f8Bae1,41721508,20,11,9,20860754,20860754,1896432.1818181819,2317861.5555555555,2185317.027758249,2616072.4690361954,8151975,0
0x1B47A1598c3fc8f3f4bc75b2BAae9dC810391Ce4,1236,2,1,1,618,618,618.0,618.0,0.0,0.0,618,0
0x39439c36716Ca5316D241943372E58230577950B,1742064,2,1,1,871032,871032,871032.0,871032.0,0.0,0.0,871032,0
0x1F65b1d3E864390b3A0Abe3061Ba21C2b73b196d,700790,4,2,2,350395,350395,175197.5,175197.5,43786.5,43786.5,218984,0
0xF7739Ac4c946056A6E302b6Db83bC0345d1DF37f,36872,2,1,1,18436,18436,18436.0,18436.0,0.0,0.0,18436,0
0x46499026e4E799b95647D3583F485E3915D5e0A8,70108,2,1,1,35054,35054,35054.0,35054.0,0.0,0.0,35054,0
0xE70A2105CBbeDDc8C3B0FD3be407915dCE9D26c3,2706654,2,1,1,1353327,1353327,1353327.0,1353327.0,0.0,0.0,1353327,0
0x1aC834dc22862822ffCbc691c93b71C71B402DEF,1572940,2,1,1,786470,786470,786470.0,786470.0,0.0,0.0,786470,0
0x6e7235e617bD8014b1B548E2e14Ad1ca116Cb429,348966,3,1,2,174483,174483,174483.0,87241.5,0.0,12758.5,174483,0
